Paises,sede,Red_Social,URL
Algeria,EARGE,Twitter,www.Twitter.com/ARGenArgelia 
Ecuador,EECUA,Facebook,www.Facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks 
Ecuador,EECUA,Instagram, www.Instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh 
Ecuador,EECUA,Youtube, www.Youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng 
"Egypt, Arab Rep.",EEGIP,Facebook, www.Facebook.com/ArgentinaenEgipto 
"Egypt, Arab Rep.",EEGIP,Instagram,www.Instagram.com/argenegipto/ 
"Egypt, Arab Rep.",EEGIP,Twitter, www.Twitter.com/ARGenEgipto 
Spain,CBARC,Facebook,www.Facebook.com/ArgEnBarcelona 
Spain,CBARC,Instagram, www.Instagram.com/argenbarcelona  
Spain,CBARC,Linkedin,www.Linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/ 
Spain,CBARC,Twitter, www.Twitter.com/ARGenBarcelona 
Spain,CCADI,Facebook,www.Facebook.com/ArgentinaEnCadiz 
Spain,CMADR,Facebook,www.Facebook.com/ArgentinaEnMadridEsp/ 
Spain,CMALL,Facebook,www.Facebook.com/ArgentinaEnPalmaDeMallorca 
Spain,CTENE,Facebook,www.Facebook.com/argentinaentenerife 
Spain,CVIGO,Facebook,www.Facebook.com/ArgentinaenVigo 
Spain,CVIGO,Instagram, www.Instagram.com/argenvigo/ 
Spain,EESPA,Facebook, www.Facebook.com/argenespa/ 
Spain,EESPA,Instagram, www.Instagram.com/argenespa/ 
Spain,EESPA,Twitter,www.Twitter.com/ARGenesp 
Ethiopia,EETIO,Facebook,www.Facebook.com/ArgEnEtiopia/ 
Ethiopia,EETIO,Instagram, www.Instagram.com/embaargenetiopia/ 
Finland,EFINL,Facebook,www.Facebook.com/ArgentinaEnFinlandia/ 
Finland,EFINL,Instagram, www.Instagram.com/argenfinlandia/ 
France,EFRAN,Facebook,www.Facebook.com/ArgentinaEnFrancia/ 
France,EUNES,Facebook, www.Facebook.com/delegation.argentine/ 
France,EUNES,Twitter,www.Twitter.com/ArgentinaUNESCO 
Greece,EGREC,Facebook,www.Facebook.com/ArgentinaEnGrecia 
Greece,EGREC,Youtube, www.Youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured 
Hungary,EUNGR,Facebook,www.Facebook.com/ArgentinaEnHungria 
India,CGMUM,Facebook,www.Facebook.com/argenmumbai 
India,CGMUM,Instagram, www.Instagram.com/argenmumbai 
India,CGMUM,Twitter, www.Twitter.com/cgmum1 
India,EINDI,Facebook, www.Facebook.com/ArgentinaEnInd 
India,EINDI,Instagram, www.Instagram.com/argentinaenind/ 
India,EINDI,Twitter,www.Twitter.com/ArgentinaEnInd 
Ireland,EIRLA,Facebook,www.Facebook.com/ArgentinaEnIrlanda/ 
Ireland,EIRLA,Instagram, www.Instagram.com/embajadaargentinairlanda 
Israel,CGTEL,Facebook,www.Facebook.com/ArgentinaEnIsrael/ 
Israel,EISRA,Facebook,www.Facebook.com/ArgEnIsrael 
Israel,EISRA,Twitter, www.Twitter.com/argenisrael 
Italy,CMILA,Facebook,www.Facebook.com/ConsuladoArgentinoenMilan 
Italy,CMILA,Instagram, www.Instagram.com/consuladoargentinoenmilan/ 
Italy,CMILA,Youtube, www.Youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ 
Italy,EITAL,Facebook,www.Facebook.com/emb.roma/ 
Italy,EITAL,Instagram, www.Instagram.com/arginitalia/?hl=es 
Italy,EITAL,Twitter, www.Twitter.com/arginitalia?lang=es 
Jamaica,EJAMA,Facebook,www.Facebook.com/ArgentinaEnJamaica/ 
Jamaica,EJAMA,Twitter, www.Twitter.com/ARGenJamaica 
Japan,EJAPO,Facebook, www.Facebook.com/ArgJapon/?ref=bookmarks 
Kenya,EKENY,Facebook,www.Facebook.com/ArgentinaEnKenia 
Kenya,EKENY,Instagram, www.Instagram.com/argenkenya/ 
"Korea, Rep.",ECORE,Facebook,www.Facebook.com/ArgentinaEnCorea/ 
"Korea, Rep.",ECORE,Instagram, www.Instagram.com/embajadaargentinaencorea1/?hl=es 
Kuwait,EKUWA,Facebook,www.Facebook.com/ArgentinaenKuwait 
Morocco,EMARR,Instagram,www.Instagram.com/marruecos.embajada/ 
Morocco,EMARR,Twitter, www.Twitter.com/ArgMarruecos 
Mexico,EMEXI,Facebook, www.Facebook.com/ARGenMexico/ 
Mexico,EMEXI,Instagram, www.Instagram.com/embargenmexico/ 
Mexico,EMEXI,Twitter,www.Twitter.com/@ARGenMexico 
Mexico,EMEXI,Youtube, www.Youtube.com/user/EmbaArgenMX 
Mozambique,EMOZA,Facebook,www.Facebook.com/ArgentinaEnMozambique/ 
Malaysia,EMSIA,Facebook,www.Facebook.com/ArgentinaEnMalasia 
Nigeria,ENIGE,Facebook,www.Facebook.com/ArgentinaEnNigeria/ 
Nigeria,ENIGE,Instagram, www.Instagram.com/embargennigeria/?igshid=f0laoeu8lhv8 
Netherlands,EPBAJ,Facebook,www.Facebook.com/ArgEnPaisesBajos/ 
Netherlands,EPBAJ,Twitter, www.Twitter.com/ArgentinaEnPB 
Norway,ENORU,Facebook,www.Facebook.com/ArgentinaEnNoruega/ 
Norway,ENORU,Instagram, www.Instagram.com/ARGenNoruega/ 
Pakistan,EPAKI,Twitter,www.Twitter.com/EmbajadadeArge1 
Peru,EPERU,Facebook, www.Facebook.com/ArgentinaEnPeru 
Peru,EPERU,Twitter,www.Twitter.com/Emb_Arg_Peru 
Philippines,EFILI,Facebook,www.Facebook.com/ArgentinaEnFilipinas 
Philippines,EFILI,Instagram, www.Instagram.com/argentinaenfilipinas/ 
Philippines,EFILI,Twitter, www.Twitter.com/ArgentinaEnFili 
Poland,EPOLO,Facebook,www.Facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/ 
Paraguay,CCEST,Facebook,www.Facebook.com/ArgEnCiudaddeleste/ 
Paraguay,CCEST,Instagram, www.Instagram.com/argenciudaddeleste 
Paraguay,EPARA,Facebook, www.Facebook.com/embajada.paraguay 
Paraguay,EPARA,Twitter,www.Twitter.com/argenparaguay_ 
Romania,ERUMA,Facebook,www.Facebook.com/ArgentinaEnRumania 
Romania,ERUMA,Instagram, www.Instagram.com/argentinaenrumania 
Russian Federation,EFRUS,Facebook,www.Facebook.com/EMBAJADAARGENTINAENMOSCU 
Russian Federation,EFRUS,Twitter, www.Twitter.com/EmbArgRusia 
Saudi Arabia,EARAB,Facebook,www.Facebook.com/argentinaenarabiasaudita/ 
