sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
CENCA,Consulado  General  en  Encarnación,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,,Activo
CFBEN,Consulado  en  Fray  Bentos,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,,Activo
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,,Activo
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,República  de  Türkiye,EUROPA  OCCIDENTAL,TUR,,Activo
CGPAZ,Consulado  General  en  La  Paz,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,,Activo
CGUAN,Consulado  General  en  Guangzhou,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,,Activo
CGUAY,Consulado  en  Guayaquil,REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR,ECU,,Activo
CGVAN,Consulado  General  en  Vancouver,CANADÁ,AMÉRICA  DEL  NORTE,CAN,,Activo
CHAMB,Consulado  General  en  Hamburgo,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,,Activo
CHONG,Consulado  General  en  Hong  Kong,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,,Activo
CJOHA,Consulado  General  en  Johannesburgo,REPÚBLICA  DE  SUDÁFRICA,ÁFRICA  SUBSAHARIANA,ZAF,,Activo
CLIMA,Consulado  General  en  Lima,REPÚBLICA  DEL  PERÚ,AMÉRICA  DEL  SUR,PER,,Activo
CMEXI,Consulado  General  en  México,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE,MEX,,Activo
CMREA,Consulado  General  en  Montreal,CANADÁ,AMÉRICA  DEL  NORTE,CAN,,Activo
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,,Activo
CPAYS,Consulado  en  Paysandú,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,,Activo
CPCAR,Consulado  en  Playa  del  Carmen,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE,MEX,,Activo
CSHAN,Consulado  General  y  Centro  de  Promoción  en  Shanghai,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,,Activo
CSIGO,Consulado  General  en  Santiago,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,,Activo
CTARI,Consulado  General  en  Tarija,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,,Activo
CYACU,Consulado  en  Yacuiba,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,,Activo
DIGAC,Argentinos  en  el  exterior,REPÚBLICA  ARGENTINA,AMÉRICA  DEL  SUR,ARG,,Activo
EBANG,Embajada  en  Bangladesh,REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA,BGD,,Activo
EGUAT,Embajada  en  Guatemala,REPÚBLICA  DE  GUATEMALA,AMÉRICA  CENTRAL  Y  CARIBE,GTM,,Activo
EGUYA,Embajada  en  Guyana,REPÚBLICA  COOPERATIVA  DE  GUYANA,AMÉRICA  CENTRAL  Y  CARIBE,GUY,,Activo
EHAIT,Embajada  en  Haití,REPÚBLICA  DE  HAITÍ,AMÉRICA  CENTRAL  Y  CARIBE,HTI,,Activo
EIRAN,Embajada  en  Irán,REPÚBLICA  ISLÁMICA  DE  IRÁN,ASIA,IRN,,Activo
ELBIA,Embajada  en  Libia,ESTADO  DE  LIBIA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,LBY,,Activo
EMSUR,Representación  Permanente  para  MERCOSUR  y  ALADI,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,,Activo
ENAUN,Representación  Permanente  ante  las  Naciones  Unidas,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,,Activo
ENZEL,Embajada  en  Nueva  Zelandia,NUEVA  ZELANDIA,OCEANÍA,NZL,,Activo
EPORT,Embajada  en  Portugal,REPÚBLICA  PORTUGUESA,EUROPA  OCCIDENTAL,PRT,,Activo
ESUIZ,Embajada  en  Suiza,Confederación  Suiza,EUROPA  OCCIDENTAL,CHE,,Activo
ESURI,Embajada  en  Surinam,REPÚBLICA  DE  SURINAME,AMÉRICA  DEL  SUR,SUR,,Activo
