sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,redes_sociales,Estado
EEEUU,Embajada  en  Estados  Unidos,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.twitter.com/ARGinUSA  //  www.facebook.com/ARGinUSA/  //  www.instagram.com/ARGinUSA/  //  www.flickr.com/photos/ARGinUSA/  //  www.youtube.com/ARGinUSA  //  www.linkedin.com/in/ARGinUSA  //  ,Activo
CALEG,Consulado  General  en  Porto  Alegre,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.twitter.com/ArgPortoAlegre  //  www.facebook.com/ArgentinaEnPortoAlegre/  //  www.instagram.com/argenportoalegre/  //  ,Activo
ESSED,Representación  ante  la  Santa  Sede,SANTA  SEDE,EUROPA  OCCIDENTAL,VAT,www.twitter.com/ArgSantaSede  //  www.youtube.com/c/EmbajadaArgentinaantelaSantaSede  //  www.facebook.com/ArgEnSantaSede  //  www.instagram.com/argensantasede/  //  ,Activo
EPERU,Embajada  en  Perú,REPÚBLICA  DEL  PERÚ,AMÉRICA  DEL  SUR,PER,www.twitter.com/Emb_Arg_Peru  //  www.facebook.com/ArgentinaEnPeru  //  ,Activo
EPAKI,Embajada  en  Pakistán,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,ASIA,PAK,www.twitter.com/EmbajadadeArge1  //  ,Activo
EHILE,Embajada  en  Chile,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,www.twitter.com/EmbArgEnChile  //  www.facebook.com/EmbArgentinaEnChile  //  www.instagram.com/embargenchile/  //  ,Activo
ECEUR,Embajada  ante  la  Unión  Europea,Reino  de  Bélgica,EUROPA  OCCIDENTAL,BEL,www.facebook.com/ARGanteUE  //  www.linkedin.com/company/arganteue  //  www.twitter.com/ARGanteUE  //  www.youtube.com/@ARGanteUE  //  www.flickr.com/people/197084220@N02/  //  ,Activo
EALEM,Embajada  en  Alemania,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,www.facebook.com/ArgEnAlemania/  //  ,Activo
CCEST,Consulado  General  en  Ciudad  del  Este,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,www.facebook.com/ArgEnCiudaddeleste/  //  www.instagram.com/argenciudaddeleste  //  ,Activo
CCURI,Consulado  en  Curitiba,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,www.facebook.com/ArgEnCuritiba/  //  www.instagram.com/argEncuritiba  //  www.twitter.com/ARGenCuri  //  ,Activo
EETIO,Embajada  en  Etiopía,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,ÁFRICA  SUBSAHARIANA,ETH,www.facebook.com/ArgEnEtiopia/  //  www.instagram.com/embaargenetiopia/  //  ,Activo
EISRA,Embajada  en  Israel,ESTADO  DE  ISRAEL,ASIA,ISR,www.facebook.com/ArgEnIsrael  //  www.twitter.com/argenisrael  //  ,Activo
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,REPÚBLICA  DE  LA  INDIA,ASIA,IND,www.facebook.com/argenmumbai  //  www.instagram.com/argenmumbai  //  www.twitter.com/cgmum1  //  ,Activo
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,www.facebook.com/ARGenNewYork  //  www.twitter.com/ARGenNewYork  //  www.instagram.com/argennewyork/  //  www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg  //  ,Activo
EPBAJ,Embajada  en  Holanda,REINO  DE  LOS  PAÍSES  BAJOS,EUROPA  OCCIDENTAL,NLD,www.facebook.com/ArgEnPaisesBajos/  //  www.twitter.com/ArgentinaEnPB  //  ,Activo
REPAL,Oficina  de  Representación  en  el  Estado  de  Palestina,ESTADO  DE  PALESTINA,ASIA,PSE,www.facebook.com/ArgEnPalestina  //  ,Activo
