Data Source,World Development Indicators,,
,,,
Last Updated Date,2/12/2024,,
,,,
Ukraine,UKR,3096.5625,4533.975586
Algeria,DZA,4171.790388,4342.637968
Jordan,JOR,4146.407311,4311.000046
"Egypt, Arab Rep.",EGY,2531.200079,4295.407496
Viet Nam,VNM,3267.225069,4163.514299
Eswatini,SWZ,4021.445556,3986.886637
Cabo Verde,CPV,3860.454808,3754.304794
Tunisia,TUN,3577.175342,3747.419391
Samoa,WSM,4189.052191,3745.560367
"Micronesia, Fed. Sts.",FSM,3623.329337,3713.955362
Bolivia,BOL,3471.006951,3600.121635
Philippines,PHL,3194.672701,3498.509806
Morocco,MAR,3492.672607,3441.991455
Sri Lanka,LKA,4360.584735,3354.383408
Vanuatu,VUT,3076.835315,3231.3513
Djibouti,DJI,2755.838293,3136.112768
Papua New Guinea,PNG,2584.327802,3115.922923
Honduras,HND,2457.686042,3040.173046
Angola,AGO,2540.508878,3000.444231
Bangladesh,BGD,1963.412492,2688.305501
"Congo, Rep.",COG,2715.243105,2649.225022
Cote d'Ivoire,CIV,2295.540335,2486.412194
India,IND,1974.377731,2410.888021
Timor-Leste,TLS,1241.164485,2389.295875
Sao Tome and Principe,STP,1815.605495,2386.696176
Nicaragua,NIC,1981.858367,2255.425995
Uzbekistan,UZB,1604.258642,2255.151155
Solomon Islands,SLB,2450.482888,2205.251805
Ghana,GHA,2180.029684,2203.558935
Nigeria,NGA,2125.834491,2162.633734
Kenya,KEN,1845.783414,2099.301938
Mauritania,MRT,1749.954236,2065.155516
Lao PDR,LAO,2553.361866,2054.430781
Cambodia,KHM,1533.315985,1759.608023
Haiti,HTI,1489.578406,1748.257132
Kiribati,KIR,1607.229825,1701.970665
Zimbabwe,ZWE,2269.177012,1676.821489
Kyrgyz Republic,KGZ,1308.139785,1655.072698
Senegal,SEN,1484.22707,1598.726433
Pakistan,PAK,1620.742591,1588.879829
Cameroon,CMR,1594.06011,1563.48894
Guinea,GIN,944.4172687,1515.167948
Comoros,COM,1531.337811,1484.892465
Zambia,ZMB,1475.199883,1456.90157
Nepal,NPL,1161.53435,1336.546047
Benin,BEN,1194.438214,1302.851036
Tanzania,TZA,1011.600159,1192.766479
Myanmar,MMR,1288.418087,1149.211218
Sudan,SDN,769.8691406,1102.146484
Tajikistan,TJK,850.6669582,1054.189484
Ethiopia,ETH,758.2976945,1027.585911
Lesotho,LSO,1162.978854,969.9357602
Rwanda,RWA,768.9436612,966.2320714
Uganda,UGA,793.1280822,964.3958695
Togo,TGO,873.5548872,942.6499016
Mali,MLI,856.3565966,833.2972551
Burkina Faso,BFA,779.2027686,830.0371503
"Gambia, The",GMB,683.3246328,808.2782815
Guinea-Bissau,GNB,781.6443676,775.8289657
Liberia,LBR,700.0370394,754.5328429
Chad,TCD,720.2651014,716.8043811
"Congo, Dem. Rep.",COD,546.2125932,653.6562231
"Yemen, Rep.",YEM,701.7148684,650.2722184
Malawi,MWI,537.9322041,645.1586921
Somalia,SOM,537.1592902,592.103122
Niger,NER,568.5996597,585.4049292
Mozambique,MOZ,510.3799965,558.2986064
Madagascar,MDG,512.5439915,516.592616
Sierra Leone,SLE,519.6499639,475.7957278
Central African Republic,CAF,435.9322966,427.0580962
Burundi,BDI,232.0606166,259.0250314
