sede_id,sede_desc_castellano
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial"
ECOLO,Sección  Consular
ECOLO,Sección  Administrativa
ECOLO,"Sección  Económica, Comercial  y  Turismo"
ECOLO,"Sección  Política, Tecnología  y  Ciencia"
ECOLO,Jefe  de  Cancillería
ECORE,Sección  de  Administración  
ECORE,Sección  Consular
ECORE,"Sección  Cultural, Educación  y  Turismo"
ECORE,Sección  Política
ECORE,Sección  Económica  y  Comercial
ECUBA,Sección  Económica  y  Comercial
ECUBA,Sección  Consular
ECUBA,Sección  Administrativa
ECUBA,Sección  Cooperación
ECUBA,Sección  Cultural
EDINA,Sección  Consular
EDINA,Sección  Cultural
EDINA,Sección  Administrativa
EDINA,Sección  Comercial
EDOMI,Sección  Consular
EDOMI,Sección  Administración
EDOMI,Sección  Económica  y  Comercial
EEARB,Sección  Política
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai"
EEARB,Sección  Consular
EECUA,Sección  Política
EECUA,Sección  Cultural
EECUA,Sección  Económica  y  Comercial
EECUA,Sección  Educación  y  Cooperación
EECUA,Sección  Consular
EECUA,Sección  Prensa
EECUA,Administración  y  Logística
EECUA,Agregaduria  Militar
EEEUU,Agregaduria  Aeronautica
EEEUU,Agregaduria  Militar
EEEUU,Agregaduria  Naval
EEEUU,Consejería  Agrícola
EEEUU,Sección  Económica  y  Comercial
EEEUU,Sección  Administrativa  y  Recursos  Humanos
EEEUU,Jefe  de  Cancillería
EEEUU,Prensa
EEEUU,Sección  Consular
EEEUU,Sección  Política
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública
EEGIP,Sección  Comercial
EEGIP,Sección  Consular
EEGIP,Sección  Administrativa
EEGIP,Agregaduría  Militar
EEGIP,Sección  Política
EEGIP,Sección  Cultural
EESPA,Sección  Económica  -  Comercial
EESPA,"Sección  Cultura, Educación  y  Protocolo"
EESPA,Representante  Ministerio  de  Desarrollo  Productivo
EESPA,Sección  Política  y  Cooperación  Jurídica
EESPA,"Sección  Política, Prensa  y  Comunicación"
EESPA,Jefe  de  Misión  Adjunto
EESPA,Sección  Administrativa  y  Recursos  Humanos
EETIO,Sección  Económica  y  Comercial
EETIO,Sección  Política
EETIO,Sección  Consular
EETIO,Sección  Cultural
EFILI,Andrea  Silvina  Repetti
EFILI,Ana  Clara  Pianezza  
EFILI,Josefina  Marcela  Gallo  Morando
EFILI,Mauricio  Germán  Muñoz
EFINL,Sección  Comercial  y  de  Inversiones
EFINL,Sección  Consular
EFRAN,Sección  Consular
EFRAN,Sección  Cultural
EFRAN,Sección  Administrativa
EFRAN,Oficina  Turismo
EFRAN,Sección  Cooperación  Internacional
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones"
EFRAN,Sección  Organismos  Internacionales  Económicos
EFRAN,"Sección  Política, Asuntos  Juridicos  y  Derechos  Humanos"
EFRAN,Jefe  de  Cancillería
EFRUS,Sección  Económica  y  Comercial
EFRUS,Agregaduría  Agrícola
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur
EFRUS,Asuntos  Estratégicos
EFRUS,Sección  Concurrencias
EFRUS,"Sección  Energía, Ciencia  y  Tecnología"
EFRUS,Sección  Política
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
EFRUS,Jefe  de  Cancillería
